image,experiment,source,source_param,channel_code,channel_param,channel,channel_p,psnr_db,mse,accuracy_exact,accuracy_tol5,ber_raw,ber_decoded,n_info_bits,n_tx_bits,code_rate,compression_ratio,encode_ms,decode_ms
gradient,bec_sweep,dct,60,repetition,3,bec,0.0,51.433849381519785,0.4674072265625,0.54779052734375,1.0,0.0,0.0,131108,393324,0.3333333333333333,0.9997254172132898,6.450500000028114,17.346999999972468
gradient,bec_sweep,dct,60,repetition,3,bec,0.01,51.433849381519785,0.4674072265625,0.54779052734375,1.0,0.010032441447763166,0.0,131108,393324,0.3333333333333333,0.9997254172132898,9.865799999715819,17.646399999648565
gradient,bec_sweep,dct,60,repetition,3,bec,0.03,30.980737104967083,51.88079833984375,0.54364013671875,0.9921875,0.029652398531490577,1.5254599261677395e-05,131108,393324,0.3333333333333333,0.9997254172132898,8.211999999730324,18.777899999804504
gradient,bec_sweep,dct,60,repetition,3,bec,0.1,16.741213193538602,1377.07958984375,0.43890380859375,0.83453369140625,0.10051509696840263,0.00044238337858864445,131108,393324,0.3333333333333333,0.9997254172132898,6.916999999702966,14.675200000056066
gradient,bec_sweep,dct,60,repetition,3,bec,0.2,8.881596382483792,8412.415649414062,0.080322265625,0.197509765625,0.20060815002389887,0.0037678860176343166,131108,393324,0.3333333333333333,0.9997254172132898,9.31189999982962,16.368499999771302
gradient,bec_sweep,dct,60,repetition,3,bec,0.3,6.374545035254464,14983.934204101562,0.00341796875,0.01727294921875,0.30004525531114296,0.012783354181285657,131108,393324,0.3333333333333333,0.9997254172132898,9.319499999946856,18.925800000033632
gradient,bec_sweep,dct,60,repetition,5,bec,0.0,51.433849381519785,0.4674072265625,0.54779052734375,1.0,0.0,0.0,131108,655540,0.2,0.9997254172132898,7.507399999667541,20.226199999797245
gradient,bec_sweep,dct,60,repetition,5,bec,0.01,51.433849381519785,0.4674072265625,0.54779052734375,1.0,0.010061933673002411,0.0,131108,655540,0.2,0.9997254172132898,8.011599999917962,20.267800000056013
gradient,bec_sweep,dct,60,repetition,5,bec,0.03,51.433849381519785,0.4674072265625,0.54779052734375,1.0,0.02988833633340452,0.0,131108,655540,0.2,0.9997254172132898,6.79020000006858,19.6179999998094
gradient,bec_sweep,dct,60,repetition,5,bec,0.1,34.65078951142183,22.284423828125,0.54278564453125,0.99322509765625,0.10030966836501205,1.5254599261677395e-05,131108,655540,0.2,0.9997254172132898,8.163400000285037,19.670899999709945
